{'loss': 1.9695, 'learning_rate': 2.9999999999999997e-06, 'epoch': 0.0}
{'loss': 1.9401, 'learning_rate': 9.3e-05, 'epoch': 0.11}
{'loss': 2.2413, 'learning_rate': 9.599999999999999e-05, 'epoch': 0.12}
{'loss': 1.9214, 'learning_rate': 9.9e-05, 'epoch': 0.12}
{'loss': 1.9501, 'learning_rate': 0.000102, 'epoch': 0.12}
{'loss': 1.9411, 'learning_rate': 0.00010499999999999999, 'epoch': 0.13}
{'loss': 2.0493, 'learning_rate': 0.00010799999999999998, 'epoch': 0.13}
{'loss': 1.689, 'learning_rate': 0.00011099999999999999, 'epoch': 0.13}
{'loss': 2.0327, 'learning_rate': 0.00011399999999999999, 'epoch': 0.14}
{'loss': 1.7606, 'learning_rate': 0.000117, 'epoch': 0.14}
{'loss': 2.2872, 'learning_rate': 0.00011999999999999999, 'epoch': 0.14}
{'loss': 1.5879, 'learning_rate': 0.00012299999999999998, 'epoch': 0.15}
{'loss': 1.9084, 'learning_rate': 0.00012599999999999997, 'epoch': 0.15}
{'loss': 2.2823, 'learning_rate': 0.000129, 'epoch': 0.16}
{'loss': 1.8335, 'learning_rate': 0.00013199999999999998, 'epoch': 0.16}
{'loss': 1.7539, 'learning_rate': 0.000135, 'epoch': 0.16}
{'loss': 1.3446, 'learning_rate': 0.000138, 'epoch': 0.17}
{'loss': 1.4984, 'learning_rate': 0.00014099999999999998, 'epoch': 0.17}
{'loss': 1.7735, 'learning_rate': 0.00014399999999999998, 'epoch': 0.17}
{'loss': 1.5886, 'learning_rate': 0.000147, 'epoch': 0.18}
{'loss': 2.0554, 'learning_rate': 0.00015, 'epoch': 0.18}
{'loss': 1.4886, 'learning_rate': 0.00015299999999999998, 'epoch': 0.18}
{'loss': 2.2489, 'learning_rate': 0.000156, 'epoch': 0.19}
{'loss': 1.967, 'learning_rate': 0.000159, 'epoch': 0.19}
{'loss': 1.956, 'learning_rate': 0.000162, 'epoch': 0.2}
{'loss': 1.7161, 'learning_rate': 0.000165, 'epoch': 0.2}
{'loss': 2.29, 'learning_rate': 0.000168, 'epoch': 0.2}
{'loss': 1.4959, 'learning_rate': 0.00017099999999999998, 'epoch': 0.21}
{'loss': 1.7556, 'learning_rate': 0.00017399999999999997, 'epoch': 0.21}
{'loss': 1.6428, 'learning_rate': 0.00017699999999999997, 'epoch': 0.21}
{'loss': 1.6055, 'learning_rate': 0.00017999999999999998, 'epoch': 0.22}
{'loss': 2.1629, 'learning_rate': 0.00018299999999999998, 'epoch': 0.22}
{'loss': 1.893, 'learning_rate': 0.000186, 'epoch': 0.22}
{'loss': 1.766, 'learning_rate': 0.00018899999999999999, 'epoch': 0.23}
{'loss': 2.1033, 'learning_rate': 0.00019199999999999998, 'epoch': 0.23}
{'loss': 1.7599, 'learning_rate': 0.000195, 'epoch': 0.24}
{'loss': 1.9575, 'learning_rate': 0.000198, 'epoch': 0.24}
{'loss': 1.6115, 'learning_rate': 0.000201, 'epoch': 0.24}
{'loss': 1.797, 'learning_rate': 0.000204, 'epoch': 0.25}
{'loss': 1.5157, 'learning_rate': 0.00020699999999999996, 'epoch': 0.25}
{'loss': 2.0621, 'learning_rate': 0.00020999999999999998, 'epoch': 0.25}
{'loss': 1.7887, 'learning_rate': 0.00021299999999999997, 'epoch': 0.26}
{'loss': 1.8922, 'learning_rate': 0.00021599999999999996, 'epoch': 0.26}
{'loss': 1.8039, 'learning_rate': 0.00021899999999999998, 'epoch': 0.26}
{'loss': 1.73, 'learning_rate': 0.00022199999999999998, 'epoch': 0.27}
{'loss': 1.4464, 'learning_rate': 0.000225, 'epoch': 0.27}
{'loss': 1.6619, 'learning_rate': 0.00022799999999999999, 'epoch': 0.27}
{'loss': 2.3596, 'learning_rate': 0.00023099999999999998, 'epoch': 0.28}
{'loss': 2.0549, 'learning_rate': 0.000234, 'epoch': 0.28}
{'loss': 1.3824, 'learning_rate': 0.000237, 'epoch': 0.29}
{'loss': 2.0171, 'learning_rate': 0.00023999999999999998, 'epoch': 0.29}
{'loss': 2.1149, 'learning_rate': 0.000243, 'epoch': 0.29}
{'loss': 1.9547, 'learning_rate': 0.00024599999999999996, 'epoch': 0.3}
{'loss': 1.8277, 'learning_rate': 0.000249, 'epoch': 0.3}
{'loss': 2.0981, 'learning_rate': 0.00025199999999999995, 'epoch': 0.3}
{'loss': 1.5838, 'learning_rate': 0.00025499999999999996, 'epoch': 0.31}
{'loss': 1.9758, 'learning_rate': 0.000258, 'epoch': 0.31}
{'loss': 1.4512, 'learning_rate': 0.000261, 'epoch': 0.31}
{'loss': 1.6622, 'learning_rate': 0.00026399999999999997, 'epoch': 0.32}
{'loss': 1.9791, 'learning_rate': 0.000267, 'epoch': 0.32}
{'loss': 1.8996, 'learning_rate': 0.00027, 'epoch': 0.33}
{'loss': 1.6567, 'learning_rate': 0.00027299999999999997, 'epoch': 0.33}
{'loss': 1.8298, 'learning_rate': 0.000276, 'epoch': 0.33}
{'loss': 1.541, 'learning_rate': 0.000279, 'epoch': 0.34}
{'loss': 2.0119, 'learning_rate': 0.00028199999999999997, 'epoch': 0.34}
{'loss': 2.0666, 'learning_rate': 0.000285, 'epoch': 0.34}
{'loss': 2.2222, 'learning_rate': 0.00028799999999999995, 'epoch': 0.35}
{'loss': 1.7874, 'learning_rate': 0.00029099999999999997, 'epoch': 0.35}
{'loss': 1.9017, 'learning_rate': 0.000294, 'epoch': 0.35}
{'loss': 1.6162, 'learning_rate': 0.00029699999999999996, 'epoch': 0.36}
{'loss': 1.433, 'learning_rate': 0.0003, 'epoch': 0.36}
{'loss': 2.0392, 'learning_rate': 0.000299765625, 'epoch': 0.37}
{'loss': 1.897, 'learning_rate': 0.00029953125, 'epoch': 0.37}
{'loss': 1.6798, 'learning_rate': 0.000299296875, 'epoch': 0.37}
{'loss': 1.4751, 'learning_rate': 0.00029906249999999996, 'epoch': 0.38}
{'loss': 1.851, 'learning_rate': 0.000298828125, 'epoch': 0.38}
{'loss': 1.8014, 'learning_rate': 0.00029859375, 'epoch': 0.38}
{'loss': 1.8998, 'learning_rate': 0.00029835937499999996, 'epoch': 0.39}
{'loss': 2.0119, 'learning_rate': 0.000298125, 'epoch': 0.39}
{'loss': 1.5634, 'learning_rate': 0.000297890625, 'epoch': 0.39}
{'loss': 1.698, 'learning_rate': 0.00029765624999999996, 'epoch': 0.4}
{'loss': 1.8151, 'learning_rate': 0.000297421875, 'epoch': 0.4}
{'loss': 1.4662, 'learning_rate': 0.0002971875, 'epoch': 0.41}
{'loss': 1.7448, 'learning_rate': 0.00029695312499999996, 'epoch': 0.41}
{'loss': 1.5427, 'learning_rate': 0.00029671874999999994, 'epoch': 0.41}
{'loss': 1.9329, 'learning_rate': 0.000296484375, 'epoch': 0.42}
{'loss': 1.8466, 'learning_rate': 0.00029624999999999996, 'epoch': 0.42}
{'loss': 1.7913, 'learning_rate': 0.00029601562499999995, 'epoch': 0.42}
{'loss': 1.2757, 'learning_rate': 0.00029578125, 'epoch': 0.43}
{'loss': 1.6483, 'learning_rate': 0.00029554687499999997, 'epoch': 0.43}
{'loss': 2.0625, 'learning_rate': 0.00029531249999999995, 'epoch': 0.43}
{'loss': 1.7402, 'learning_rate': 0.000295078125, 'epoch': 0.44}
{'loss': 1.6628, 'learning_rate': 0.00029484374999999997, 'epoch': 0.44}
{'loss': 1.6705, 'learning_rate': 0.000294609375, 'epoch': 0.44}
{'loss': 1.3571, 'learning_rate': 0.000294375, 'epoch': 0.45}
{'loss': 1.7578, 'learning_rate': 0.00029414062499999997, 'epoch': 0.45}
{'loss': 1.9142, 'learning_rate': 0.00029390625, 'epoch': 0.46}
{'loss': 1.655, 'learning_rate': 0.000293671875, 'epoch': 0.46}
{'loss': 2.2677, 'learning_rate': 0.00029343749999999997, 'epoch': 0.46}
{'loss': 1.7362, 'learning_rate': 0.00029320312499999995, 'epoch': 0.47}
{'loss': 1.8164, 'learning_rate': 0.00029296875, 'epoch': 0.47}
{'loss': 1.7743, 'learning_rate': 0.00029273437499999997, 'epoch': 0.47}
{'loss': 2.1503, 'learning_rate': 0.00029249999999999995, 'epoch': 0.48}
{'loss': 2.2369, 'learning_rate': 0.000292265625, 'epoch': 0.48}
{'loss': 1.7816, 'learning_rate': 0.00029203125, 'epoch': 0.48}
{'loss': 1.7043, 'learning_rate': 0.00029179687499999996, 'epoch': 0.49}
{'loss': 1.9752, 'learning_rate': 0.0002915625, 'epoch': 0.49}
{'loss': 1.6488, 'learning_rate': 0.000291328125, 'epoch': 0.5}
{'loss': 1.7306, 'learning_rate': 0.00029109374999999996, 'epoch': 0.5}
{'loss': 1.7488, 'learning_rate': 0.00029085937499999994, 'epoch': 0.5}
{'loss': 1.9638, 'learning_rate': 0.000290625, 'epoch': 0.51}
{'loss': 1.7939, 'learning_rate': 0.000290390625, 'epoch': 0.51}
{'loss': 1.8457, 'learning_rate': 0.00029015624999999994, 'epoch': 0.51}
{'loss': 2.1436, 'learning_rate': 0.000289921875, 'epoch': 0.52}
{'loss': 1.6074, 'learning_rate': 0.00028968749999999996, 'epoch': 0.52}
{'loss': 1.5329, 'learning_rate': 0.000289453125, 'epoch': 0.52}
{'loss': 1.7541, 'learning_rate': 0.00028921875, 'epoch': 0.53}
{'loss': 1.6412, 'learning_rate': 0.00028898437499999996, 'epoch': 0.53}
{'loss': 1.7382, 'learning_rate': 0.00028875, 'epoch': 0.54}
{'loss': 1.5182, 'learning_rate': 0.000288515625, 'epoch': 0.54}
{'loss': 2.0756, 'learning_rate': 0.00028828124999999996, 'epoch': 0.54}
 11% 150/1380 [22:02<3:04:14,  8.99s/it]
  0% 0/32 [00:00<?, ?it/s]
  6% 2/32 [00:01<00:15,  1.94it/s]
  9% 3/32 [00:02<00:32,  1.11s/it]
 12% 4/32 [00:04<00:31,  1.12s/it]
 16% 5/32 [00:05<00:31,  1.18s/it]
 19% 6/32 [00:10<01:07,  2.61s/it]
 22% 7/32 [00:13<01:08,  2.75s/it]
 25% 8/32 [00:15<00:53,  2.23s/it]
 28% 9/32 [00:17<00:54,  2.38s/it]
 31% 10/32 [00:19<00:49,  2.23s/it]
 34% 11/32 [00:22<00:53,  2.56s/it]
 38% 12/32 [00:24<00:47,  2.38s/it]
 41% 13/32 [00:26<00:40,  2.13s/it]
 44% 14/32 [00:27<00:34,  1.91s/it]
 47% 15/32 [00:29<00:28,  1.70s/it]
 50% 16/32 [00:29<00:22,  1.41s/it]
 53% 17/32 [00:30<00:19,  1.29s/it]
 56% 18/32 [00:32<00:18,  1.29s/it]
 59% 19/32 [00:32<00:14,  1.12s/it]
 62% 20/32 [00:34<00:16,  1.41s/it]
 66% 21/32 [00:35<00:13,  1.22s/it]
 69% 22/32 [00:36<00:12,  1.23s/it]
 72% 23/32 [00:39<00:13,  1.55s/it]
 75% 24/32 [00:40<00:10,  1.37s/it]
 78% 25/32 [00:41<00:08,  1.24s/it]
 81% 26/32 [00:41<00:06,  1.12s/it]
 84% 27/32 [00:43<00:06,  1.33s/it]
 88% 28/32 [00:45<00:05,  1.34s/it]
 91% 29/32 [00:45<00:03,  1.18s/it]
 94% 30/32 [00:49<00:03,  1.81s/it]
 97% 31/32 [00:50<00:01,  1.53s/it]
                                        
{'eval_loss': 1.9222527742385864, 'eval_runtime': 51.9519, 'eval_samples_per_second': 4.812, 'eval_steps_per_second': 0.616, 'epoch': 0.54}
 11% 150/1380 [22:54<3:04:14,  8.99s/it]
100% 32/32 [00:50<00:00,  1.17s/it]
                                   /usr/local/lib/python3.10/dist-packages/bitsandbytes/autograd/_functions.py:322: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
{'loss': 1.4865, 'learning_rate': 0.000288046875, 'epoch': 0.55}
{'loss': 1.8285, 'learning_rate': 0.0002878125, 'epoch': 0.55}
{'loss': 1.9509, 'learning_rate': 0.00028757812499999996, 'epoch': 0.55}
{'loss': 1.7523, 'learning_rate': 0.00028734374999999995, 'epoch': 0.56}
{'loss': 1.6828, 'learning_rate': 0.000287109375, 'epoch': 0.56}
{'loss': 1.7274, 'learning_rate': 0.00028687499999999997, 'epoch': 0.56}
{'loss': 1.9692, 'learning_rate': 0.00028664062499999995, 'epoch': 0.57}
{'loss': 1.4153, 'learning_rate': 0.00028640625, 'epoch': 0.57}
{'loss': 1.7441, 'learning_rate': 0.00028617187499999997, 'epoch': 0.58}
{'loss': 1.9787, 'learning_rate': 0.00028593749999999995, 'epoch': 0.58}
{'loss': 1.8513, 'learning_rate': 0.000285703125, 'epoch': 0.58}
{'loss': 1.8149, 'learning_rate': 0.00028546874999999997, 'epoch': 0.59}
{'loss': 1.8011, 'learning_rate': 0.000285234375, 'epoch': 0.59}
{'loss': 1.5957, 'learning_rate': 0.000285, 'epoch': 0.59}
{'loss': 2.1021, 'learning_rate': 0.00028476562499999997, 'epoch': 0.6}
{'loss': 1.6975, 'learning_rate': 0.00028453125, 'epoch': 0.6}
{'loss': 1.738, 'learning_rate': 0.000284296875, 'epoch': 0.6}
{'loss': 1.3095, 'learning_rate': 0.00028406249999999997, 'epoch': 0.61}
{'loss': 1.3222, 'learning_rate': 0.00028382812499999996, 'epoch': 0.61}
{'loss': 1.8731, 'learning_rate': 0.00028359375, 'epoch': 0.61}
{'loss': 1.5539, 'learning_rate': 0.000283359375, 'epoch': 0.62}
{'loss': 1.3218, 'learning_rate': 0.00028312499999999996, 'epoch': 0.62}
{'loss': 1.8128, 'learning_rate': 0.000282890625, 'epoch': 0.63}
{'loss': 1.4296, 'learning_rate': 0.00028265625, 'epoch': 0.63}
{'loss': 1.6232, 'learning_rate': 0.00028242187499999996, 'epoch': 0.63}
{'loss': 1.8236, 'learning_rate': 0.0002821875, 'epoch': 0.64}
{'loss': 1.4133, 'learning_rate': 0.000281953125, 'epoch': 0.64}
{'loss': 1.3124, 'learning_rate': 0.00028171874999999996, 'epoch': 0.64}
{'loss': 1.6454, 'learning_rate': 0.00028148437499999994, 'epoch': 0.65}
{'loss': 1.6416, 'learning_rate': 0.00028125, 'epoch': 0.65}
{'loss': 1.1946, 'learning_rate': 0.000281015625, 'epoch': 0.65}
{'loss': 1.9152, 'learning_rate': 0.00028078124999999994, 'epoch': 0.66}
{'loss': 1.8444, 'learning_rate': 0.000280546875, 'epoch': 0.66}
{'loss': 1.3103, 'learning_rate': 0.00028031249999999996, 'epoch': 0.67}
{'loss': 1.6123, 'learning_rate': 0.000280078125, 'epoch': 0.67}
{'loss': 1.2764, 'learning_rate': 0.00027984375, 'epoch': 0.67}
{'loss': 1.7776, 'learning_rate': 0.00027960937499999996, 'epoch': 0.68}
{'loss': 1.4601, 'learning_rate': 0.000279375, 'epoch': 0.68}
{'loss': 1.7435, 'learning_rate': 0.000279140625, 'epoch': 0.68}
{'loss': 1.6, 'learning_rate': 0.00027890624999999997, 'epoch': 0.69}
{'loss': 1.4054, 'learning_rate': 0.000278671875, 'epoch': 0.69}
{'loss': 1.8424, 'learning_rate': 0.0002784375, 'epoch': 0.69}
{'loss': 1.6507, 'learning_rate': 0.00027820312499999997, 'epoch': 0.7}
{'loss': 1.6297, 'learning_rate': 0.00027796874999999995, 'epoch': 0.7}
{'loss': 1.456, 'learning_rate': 0.000277734375, 'epoch': 0.71}
{'loss': 1.8784, 'learning_rate': 0.00027749999999999997, 'epoch': 0.71}
{'loss': 2.1163, 'learning_rate': 0.00027726562499999995, 'epoch': 0.71}
{'loss': 1.5949, 'learning_rate': 0.00027703125, 'epoch': 0.72}
{'loss': 1.8377, 'learning_rate': 0.00027679687499999997, 'epoch': 0.72}
{'loss': 1.8327, 'learning_rate': 0.00027656249999999995, 'epoch': 0.72}
{'loss': 2.0164, 'learning_rate': 0.000276328125, 'epoch': 0.73}
{'loss': 1.8391, 'learning_rate': 0.00027609374999999997, 'epoch': 0.73}
{'loss': 1.2608, 'learning_rate': 0.000275859375, 'epoch': 0.73}
{'loss': 1.9219, 'learning_rate': 0.00027562499999999994, 'epoch': 0.74}
{'loss': 1.7865, 'learning_rate': 0.000275390625, 'epoch': 0.74}
{'loss': 1.6868, 'learning_rate': 0.00027515625, 'epoch': 0.75}
{'loss': 1.7273, 'learning_rate': 0.000274921875, 'epoch': 0.75}
{'loss': 1.7798, 'learning_rate': 0.0002746875, 'epoch': 0.75}
{'loss': 1.6788, 'learning_rate': 0.00027445312499999996, 'epoch': 0.76}
{'loss': 1.8056, 'learning_rate': 0.00027421875, 'epoch': 0.76}
{'loss': 1.7913, 'learning_rate': 0.000273984375, 'epoch': 0.76}
{'loss': 2.0864, 'learning_rate': 0.00027374999999999996, 'epoch': 0.77}
{'loss': 1.5712, 'learning_rate': 0.000273515625, 'epoch': 0.77}
{'loss': 1.7413, 'learning_rate': 0.00027328125, 'epoch': 0.77}
{'loss': 1.5154, 'learning_rate': 0.00027304687499999996, 'epoch': 0.78}
{'loss': 1.872, 'learning_rate': 0.0002728125, 'epoch': 0.78}
{'loss': 1.2929, 'learning_rate': 0.000272578125, 'epoch': 0.78}
{'loss': 1.4167, 'learning_rate': 0.00027234374999999996, 'epoch': 0.79}
{'loss': 1.9069, 'learning_rate': 0.00027210937499999994, 'epoch': 0.79}
{'loss': 1.9717, 'learning_rate': 0.000271875, 'epoch': 0.8}
{'loss': 1.7058, 'learning_rate': 0.00027164062499999996, 'epoch': 0.8}
{'loss': 1.2312, 'learning_rate': 0.00027140624999999995, 'epoch': 0.8}
{'loss': 1.819, 'learning_rate': 0.000271171875, 'epoch': 0.81}
{'loss': 1.7939, 'learning_rate': 0.00027093749999999997, 'epoch': 0.81}
{'loss': 1.3525, 'learning_rate': 0.000270703125, 'epoch': 0.81}
{'loss': 1.7335, 'learning_rate': 0.00027046875, 'epoch': 0.82}
{'loss': 2.0394, 'learning_rate': 0.00027023437499999997, 'epoch': 0.82}
{'loss': 1.715, 'learning_rate': 0.00027, 'epoch': 0.82}
{'loss': 1.756, 'learning_rate': 0.000269765625, 'epoch': 0.83}
{'loss': 1.7233, 'learning_rate': 0.00026953124999999997, 'epoch': 0.83}
{'loss': 1.8258, 'learning_rate': 0.000269296875, 'epoch': 0.84}
{'loss': 1.869, 'learning_rate': 0.0002690625, 'epoch': 0.84}
{'loss': 1.8867, 'learning_rate': 0.00026882812499999997, 'epoch': 0.84}
{'loss': 1.9837, 'learning_rate': 0.00026859374999999995, 'epoch': 0.85}
{'loss': 1.6896, 'learning_rate': 0.000268359375, 'epoch': 0.85}
{'loss': 1.5924, 'learning_rate': 0.00026812499999999997, 'epoch': 0.85}
{'loss': 1.6627, 'learning_rate': 0.00026789062499999995, 'epoch': 0.86}
{'loss': 1.7961, 'learning_rate': 0.00026765625, 'epoch': 0.86}
{'loss': 1.6409, 'learning_rate': 0.000267421875, 'epoch': 0.86}
{'loss': 1.9491, 'learning_rate': 0.00026718749999999996, 'epoch': 0.87}
{'loss': 2.0955, 'learning_rate': 0.000266953125, 'epoch': 0.87}
{'loss': 1.6392, 'learning_rate': 0.00026671875, 'epoch': 0.88}
{'loss': 1.6758, 'learning_rate': 0.00026648437499999996, 'epoch': 0.88}
{'loss': 1.609, 'learning_rate': 0.00026624999999999994, 'epoch': 0.88}
{'loss': 1.2751, 'learning_rate': 0.000266015625, 'epoch': 0.89}
{'loss': 1.6907, 'learning_rate': 0.00026578125, 'epoch': 0.89}
{'loss': 1.8742, 'learning_rate': 0.000265546875, 'epoch': 0.89}
{'loss': 1.7503, 'learning_rate': 0.0002653125, 'epoch': 0.9}
{'loss': 2.0859, 'learning_rate': 0.00026507812499999996, 'epoch': 0.9}
{'loss': 1.9463, 'learning_rate': 0.00026484375, 'epoch': 0.9}
{'loss': 1.3083, 'learning_rate': 0.000264609375, 'epoch': 0.91}
{'loss': 1.7294, 'learning_rate': 0.00026437499999999996, 'epoch': 0.91}
{'loss': 1.456, 'learning_rate': 0.000264140625, 'epoch': 0.92}
{'loss': 1.6044, 'learning_rate': 0.00026390625, 'epoch': 0.92}
{'loss': 1.9921, 'learning_rate': 0.00026367187499999996, 'epoch': 0.92}
{'loss': 1.741, 'learning_rate': 0.0002634375, 'epoch': 0.93}
{'loss': 1.8887, 'learning_rate': 0.000263203125, 'epoch': 0.93}
{'loss': 1.603, 'learning_rate': 0.00026296874999999996, 'epoch': 0.93}
{'loss': 1.5028, 'learning_rate': 0.00026273437499999995, 'epoch': 0.94}
{'loss': 1.7559, 'learning_rate': 0.0002625, 'epoch': 0.94}
{'loss': 1.643, 'learning_rate': 0.00026226562499999997, 'epoch': 0.94}
{'loss': 2.0122, 'learning_rate': 0.00026203124999999995, 'epoch': 0.95}
{'loss': 2.0905, 'learning_rate': 0.000261796875, 'epoch': 0.95}
{'loss': 1.7171, 'learning_rate': 0.00026156249999999997, 'epoch': 0.95}
{'loss': 1.6408, 'learning_rate': 0.00026132812499999995, 'epoch': 0.96}
{'loss': 2.0003, 'learning_rate': 0.00026109375, 'epoch': 0.96}
{'loss': 1.2505, 'learning_rate': 0.00026085937499999997, 'epoch': 0.97}
{'loss': 2.2559, 'learning_rate': 0.000260625, 'epoch': 0.97}
{'loss': 1.5809, 'learning_rate': 0.000260390625, 'epoch': 0.97}
{'loss': 2.0115, 'learning_rate': 0.00026015624999999997, 'epoch': 0.98}
{'loss': 1.7217, 'learning_rate': 0.000259921875, 'epoch': 0.98}
{'loss': 1.7538, 'learning_rate': 0.0002596875, 'epoch': 0.98}
{'loss': 1.7126, 'learning_rate': 0.00025945312499999997, 'epoch': 0.99}
{'loss': 1.599, 'learning_rate': 0.00025921874999999995, 'epoch': 0.99}
{'loss': 1.4987, 'learning_rate': 0.000258984375, 'epoch': 0.99}
{'loss': 1.709, 'learning_rate': 0.00025875, 'epoch': 1.0}
{'loss': 1.5206, 'learning_rate': 0.00025851562499999996, 'epoch': 1.0}
{'loss': 1.7922, 'learning_rate': 0.00025828125, 'epoch': 1.01}
{'loss': 1.4746, 'learning_rate': 0.000258046875, 'epoch': 1.01}
{'loss': 1.845, 'learning_rate': 0.00025781249999999996, 'epoch': 1.01}
{'loss': 1.9502, 'learning_rate': 0.000257578125, 'epoch': 1.02}
{'loss': 1.4942, 'learning_rate': 0.00025734375, 'epoch': 1.02}
{'loss': 1.6509, 'learning_rate': 0.00025710937499999996, 'epoch': 1.02}
{'loss': 1.6638, 'learning_rate': 0.00025687499999999994, 'epoch': 1.03}
{'loss': 1.7211, 'learning_rate': 0.000256640625, 'epoch': 1.03}
{'loss': 2.1217, 'learning_rate': 0.00025640625, 'epoch': 1.03}
{'loss': 1.5611, 'learning_rate': 0.000256171875, 'epoch': 1.04}
{'loss': 1.5722, 'learning_rate': 0.0002559375, 'epoch': 1.04}
{'loss': 1.8824, 'learning_rate': 0.00025570312499999996, 'epoch': 1.05}
{'loss': 1.5966, 'learning_rate': 0.00025546875, 'epoch': 1.05}
{'loss': 1.7854, 'learning_rate': 0.000255234375, 'epoch': 1.05}
{'loss': 1.5505, 'learning_rate': 0.00025499999999999996, 'epoch': 1.06}
{'loss': 1.5522, 'learning_rate': 0.000254765625, 'epoch': 1.06}
{'loss': 2.2784, 'learning_rate': 0.00025453125, 'epoch': 1.06}
{'loss': 1.5755, 'learning_rate': 0.00025429687499999997, 'epoch': 1.07}
{'loss': 1.5686, 'learning_rate': 0.0002540625, 'epoch': 1.07}
{'loss': 1.6168, 'learning_rate': 0.000253828125, 'epoch': 1.07}
{'loss': 1.2024, 'learning_rate': 0.00025359374999999997, 'epoch': 1.08}
{'loss': 1.1808, 'learning_rate': 0.00025335937499999995, 'epoch': 1.08}
{'loss': 1.4018, 'learning_rate': 0.000253125, 'epoch': 1.08}
 22% 300/1380 [44:43<2:46:13,  9.23s/it]
  0% 0/32 [00:00<?, ?it/s]
  6% 2/32 [00:01<00:15,  1.93it/s]
  9% 3/32 [00:02<00:32,  1.12s/it]
 12% 4/32 [00:04<00:31,  1.12s/it]
 16% 5/32 [00:05<00:32,  1.19s/it]
 19% 6/32 [00:10<01:05,  2.51s/it]
 22% 7/32 [00:13<01:07,  2.69s/it]
 25% 8/32 [00:14<00:52,  2.19s/it]
 28% 9/32 [00:17<00:54,  2.36s/it]
 31% 10/32 [00:19<00:48,  2.21s/it]
 34% 11/32 [00:22<00:53,  2.56s/it]
 38% 12/32 [00:24<00:47,  2.37s/it]
 41% 13/32 [00:26<00:40,  2.13s/it]
 44% 14/32 [00:27<00:34,  1.91s/it]
 47% 15/32 [00:28<00:28,  1.70s/it]
 50% 16/32 [00:29<00:22,  1.41s/it]
 53% 17/32 [00:30<00:19,  1.29s/it]
 56% 18/32 [00:31<00:18,  1.30s/it]
 59% 19/32 [00:32<00:14,  1.13s/it]
 62% 20/32 [00:34<00:16,  1.41s/it]
 66% 21/32 [00:35<00:13,  1.23s/it]
 69% 22/32 [00:36<00:12,  1.23s/it]
 72% 23/32 [00:39<00:13,  1.55s/it]
 75% 24/32 [00:40<00:10,  1.37s/it]
 78% 25/32 [00:40<00:08,  1.24s/it]
 81% 26/32 [00:41<00:06,  1.12s/it]
 84% 27/32 [00:43<00:06,  1.33s/it]
 88% 28/32 [00:44<00:05,  1.34s/it]
 91% 29/32 [00:45<00:03,  1.18s/it]
